Project Scorecard - SASE ,Weighting,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,,
Do you support multiple WAN segments (Multiple VRFs),10,Yes,5,10,Yes,5,10,Yes,5,10,"Cato supports all of the table-stakes features of traditional SD-WAN: Forward Error Correction, Packet Duplication, Packet Ordering Correction and load-balancing over multiple WAN links.
It should be noted that for most SD-WAN vendors, this is where they stop. For Cato, this is only the beginning of our WAN capabilities.Cato’s unique Multi-Segment Optimization combines edge- and backbone-specific optimizations, allowing us to optimize routing and maximize throughput end-to-end to both physical and cloud destinations. For Cato, the key to performance is not so much what vendors do at the edge with SD-WAN parlor tricks, it is what we do between our POPs (the middle mile) to guarantee a truly better experience for our users.
Within the middle-mile, Cato PoPs choose the best, SLA-backed carrier for every packet. Routing on SLA-backed carriers end-to-end eliminates the packet loss incurred during carrier peering. With the optimum network determined, Cato PoPs act as TCP proxies, dramatically improving end-to-end TCP throughput. As proxies, the PoPs make distant destination appear close to TCP clients and servers, which allows them to set large TCP windows. As a result, clients and servers can pass far more data at once before waiting for acknowledgement.",5,10,Yes,5,10,Yes,5,10,,,0,Yes,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10, ,,0,,
Remote Access,15%, ,,15%,,,15%,Note: Below are capabilities of Cisco Secure Connect,,10%, ,,15%, ,,12%, ,,11%,,,10%, ,,2%, ,,6%,,,13%, ,,0%,,
Always on,10,Yes (more details),5,10,Yes,5,10,Yes,5,10,"Yes, the Cato ZTNA offering does support Always On for all versions of the Cato Client.",5,10,Yes,5,10,"this is an option, but not default setting",5,10,Yes,5,10,VPN,,0,Yes depending on platform,3,6,Yes,5,10, ,,0,,
Do all cloud firewall services apply to remote access clients,10,Yes,5,10,Yes,5,10,Yes,5,10,"The Cloud gateway is part of the remote access solution. 
Cato is a SaaS platform that includes a ZTNA client for remote access and an SD-WAN appliance for SASE deployments.

At the basis of Cato’s SASE platform is a cloud-based secure network platform: Cato SASE Cloud. Cato took a cloud-first approach to its architecture and all functionality that could be delivered from the cloud, was placed in the cloud including global routing, network security, WAN optimization, and cloud acceleration. Cato deployed its network in 75+ fully redundant PoPs worldwide, where the full range of capabilities is available at all PoPs. Each PoP includes multiple symmetrical processing nodes, interconnected by multiple SLA-backed backbone providers. Next, Cato implemented a “thin client” approach to connect all edges to the Cato Cloud using encrypted tunnels. Edges includes Cato Socket SD-WAN appliances, any IPSec-enabled device (like edge firewalls), VPN-enabled cloud providers like AWS and Azure (agentless), and Cato VPN clients to tunnel a single device traffic into the Cato Cloud. This architecture is delivers HA by design. All edges automatically seek the nearest PoP and migrate to the next available PoP if the current PoP becomes unreachable. This requires no pre-planning or manual intervention. Traffic flows are processed inside each POP by the Cato SPACE engines using a single-pass scanning approach that processes the traffic in parallel and avoid the limitations and performance-related issues of a service-chain model. More info on our SPACE engine can be found in the attached document.",5,10,Yes,5,10,Subscribed Cloud firewalls can be included as client gateways for remote client users.,3,6,Yes,5,10,NA,0,0,Yes depending clients platform,3,6,"Yes, Windstream does have solutions which support that feature.",5,10, ,,0,,
Auto-select nearest POP,10,Yes,5,10,Yes,5,10,Yes,5,10,"The Cato Cloud is a converged platform to connect, secure and manage Coastal's network. Coastal Credit Union can gradually deploy Cato across branches, cloud resources, and users to replace or augment legacy network services and security point solutions.
At the core, Cato built a global private backbone of 93+ POPs (still growing) running our converged software stack. The PoPs are interconnected with redundant Tier-1 providers that commit to SLAs around long-haul latency, jitter, and packet loss. The PoP software selects the best route across providers, for maximum uptime and best end-to-end performance. This design offers an immediate improvement in network quality over the unpredictable Public internet, and a significant cost reduction over MPLS. 
Cato process every packet through multiple engines.
For network processing:
 -  Cato calculates the best routes globally for every packet, over the best preforming provider – this also creates high resiliency in case of a provider degradation or outage.
  - Cato accelerates WAN traffic by maximizing bandwidth for activities such as file downloads and voice calls.
  - And, it optimizes cloud access by routing application-specific traffic to the PoP closest to the cloud destination.
Cato then inspects packets for security.
 - All traffic, including encrypted traffic, can be inspected by multiple security engines.
 - These include a next generation firewall with application awareness, secure web gateway with URL filtering, and advanced threat prevention with next gen anti-malware and IPS.
 - Security policies apply to all resources including physical locations, cloud resources, and mobile users.
Customer connect all network edges to the cloud network using secure tunnels. Physical locations connect via Cato Socket SD-WAN devices. The Cato Socket manages multiple last mile connections in active/active mode. It moves traffic to the best path based on underlying link behaviour. The socket also applies quality of service prioritization based on application and user awareness. And, it protects critical apps like voice against packet loss. Cato provides a broad set of policies out of the box that optimize traffic for the most common requirements, with the ability to configure highly granular policies for specific needs.
Cato Sockets also support site-to-site MPLS and Internet connections for regional use cases and for bandwidth intensive applications with low security exposure like backup. Customers that don’t care for edge SD-WAN capabilities, can establish IPSec tunnels from existing routers or firewalls to the nearest PoP and get the network and security benefits or the backbone with a zero on-site footprint.
Combining Cato’s Edge SD-WAN capabilities for last mile optimization, with Cato’s backbone middle mile optimizations allows JGSHI to augment or replace MPLS and deliver optimal service to all locations globally or regionally.
Beyond physical locations, Cato connects cloud resources (e.g. AWS, Microsoft Azure) and mobile users to the network.
A mobile user can use the Cato Client or a browser, to securely connect to any WAN or cloud application from a laptop, tablets, and smartphones. The users dynamically connect to the nearest PoP as they move from place to place. Traffic is then optimized and secure over the backbone and to the destination.
Cloud datacenters are connected by establishing an IPSEC tunnel from the Cato Cloud or using a Cato virtual socket. This makes the cloud datacenter an integral part of the network and its traffic benefits from all network optimization and security controls.
For public cloud applications, no integration is required. Application-specific traffic from any edge is automatically detected. Traffic can be sent, based on a network rule, to the PoP closest to the cloud instance serving the business.
Finally, Cato offers a flexible management model. A Self-service console if available for Coastal to configure all networking and security policies for the entire system. Cato and its partners can deliver a fully managed service for customers who want it.
The Cato Cloud is a future proof network for the digital business. As needed, Cato can be gradually deployed across use cases while coexisting with your network and security infrastructure. ",5,10,"For SSL VPN this is available through a couple of means we can discuss. For other features, it's not necessary as the work is offloaded to the client. ",3,6,Yes,5,10,NO,0,0,NA,0,0, fixed regional pops,0,0,"Yes, Windstream does have solutions which support that feature.",5,10, ,,0,,
Number of POPs,5,100+ (More detail),5,5,90+,5,5,11,1,1,"80+ PoPs today.  All PoPs provide all services, and they are owned by Cato Networks.",5,5,"For SSL VPN, 4 RapidScale POPs. Customers can also utilize their own POPs or public cloud (Azure,AWS,Google,etc) depending on use case. ",1,1,"6 total two each region: east, central , west",3,3,Depends on architecture,3,3,NA,0,0,5,3,3,Depends on the chosen customer solution.,3,3, ,,0,,
Access to middle mile network for optimal egress,5,Yes,5,5,Yes,5,5,No,0,0,"Cato Networks has integrations with the above mentioned providers at different levels:
1) MS Azure, AWS and GCP clouds can be interconnected to the Cato SASE private cloud through virtual sockets, IPsec tunnels or cross-connect (L2) allowing Coastal to seamlessly connect their cloud workloads to the network in a secure and optimised way. 
2) Access to SaaS applications like SAP HEC can be delivered through our SaaS Smart egress capability. Traffic can be forwarded, based on a network rule, over the Cato global backbone to the PoP closest to the cloud instance serving the business. This smart egress capability optimizes the user experience. ",5,5,Each POP is connected to multiple Tier 1 service providers for redundancy and route optimization,3,3,no,0,0,"Yes, depending on architecture",3,3,NA,0,0,N/A we will provide over the top,0,0,"Yes, Windstream does have solutions which support that feature.",5,5, ,,0,,
Maximum throughput,10,1Gb per regional instance.  Multiple regional instances can be clustered for specific use cases.,5,10,No cap,5,10,250Mb per direction for each VPN tunnel i.e. site,1,2,Maximum throughput per tunnel is currently 10GB which makes Cato the SASE service holding the record for max. throughput.,5,10,Starting at/up to 1.5Gbps. (Actual throughput is dependent on multiple factors.) Specific requirements can be discussed to identify the appropriate device to satisfy the use case. ,5,10,1G,3,6,Depends on architecture and features such as edge security license adds,3,6,Depends on appliance. We will scale based on the need.,3,6,1G,3,6,Depends on the chosen customer solution.,3,6, ,,0,,
TOTALS,100%,,Overall Score,87%,,Overall Score,86%,,Overall Score,80%,,Overall Score,78%,,Overall Score,76%,,Overall Score,67%,,Overall Score,65%,,Overall Score,65%,,Overall Score,65%,,Overall Score,64%,,Overall Score,39%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meets expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does not meet expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceeds expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meets expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does not meet expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No capability/offering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
