Question,Default Weight,Category,Opportunity Type,Opportunity Subtypes
"Do you offer MDR services on Crowdstrike? If not, what platforms do you support?",10,Network Manages Services,Managed Service Provider,
What are your SLAs for response/action for a tool identified issue?,10,Network Manages Services,Managed Service Provider,
"Do you perform proactive threat hunting? If so, is there a specific cadence to this?",10,Network Manages Services,Managed Service Provider,
"Do you offer vulnerability management? If so, what tool do you use?",10,Network Manages Services,Managed Service Provider,
Does your vulnerability management program include remediation?,10,Network Manages Services,Managed Service Provider,
Do you offer phishing/cybersecurity awareness training?,10,Network Manages Services,Managed Service Provider,
Do you provide system hardening services?,10,Network Manages Services,Managed Service Provider,
What firewall platforms do you manage/support?,10,Network Manages Services,Managed Service Provider,
"Do you manage/support NextGen FW functions such as DLP, Content Filtering, Application Control, IDS/IPS etc.? ",10,Network Manages Services,Managed Service Provider,
"Will you handle proactive patch management for all PCs, servers, and infrastructure? What tool do you use? Do you offer SLA compliance? Are third party applications included?",10,Azure/M365,Managed Service Provider,
"Do you provide an IDP platform (Okta, etc.)",10,Azure/M366,Managed Service Provider,
How would you manage user provisioning/deprovisioning? Do you employ automation such as SCIM or Miscrosoft Autopilot?,10,Azure/M367,Managed Service Provider,
Will you handle PC procurement/turn up/turn down?,10,Azure/M368,Managed Service Provider,
Can you inventory hardware for new employee onboarding?,10,Azure/M369,Managed Service Provider,
"Do you manage Intune for end point management, policy enforcement, application control, user managemente etc?",10,Azure/M370,Managed Service Provider,
Do provide OS image management? If so please describe.,10,Azure/M371,Managed Service Provider,
Will you handle onboarding new applications to the IAM and SSO applications?,10,Azure/M372,Managed Service Provider,
How do you handle hardware lifecycle management?,10,Infrastructure Managed Services,Managed Service Provider,
Will you maintain our ITAM DB?,10,Infrastructure Managed Services,Managed Service Provider,
Do you manage warranty renewals?,10,Infrastructure Managed Services,Managed Service Provider,
Do you handle hardware recycling?,10,Infrastructure Managed Services,Managed Service Provider,
Can you provide a certificate of destruction for any decommissioned hardware?,10,Infrastructure Managed Services,Managed Service Provider,
"If none of your existing carriers can support a site, will you sign a new provider or resell a retail circuit to support client?",10,Infrastructure Managed Services,Managed Service Provider,
Do you pass through construction funding from the providing carrier?,10,Infrastructure Managed Services,Managed Service Provider,
"Do you offer Starlink? If so, are you a direct authorized reseller? If not, whose service are you reselling?",10,Infrastructure Managed Services,Managed Service Provider,
Who do you partner with for onsite support? Do they employ W2 technicians or 1099 contractors?,10,Infrastructure Managed Services,Managed Service Provider,
Do you support Cradlepoint? What is your partner level?,10,Infrastructure Managed Services,Managed Service Provider,
Do you support Meraki APs? What is your partner level?,10,Infrastructure Managed Services,Managed Service Provider,
Do you support Fortinet Firewalls? What is your partner level?,10,Infrastructure Managed Services,Managed Service Provider,
Are you willing to provide best effort support on unmanaged (NetGear) switches (talk LCON through troubleshooting),10,BC/DR,Managed Service Provider,
"If Client choses to move to a model in the future where you provide the hardware as a monthly service cost, which hardware brands do you support in this model?",10,BC/DR,Managed Service Provider,
Do you offer a branch voice solution (UCaaS)?,10,BC/DR,Managed Service Provider,
"Can you customise your support model to fit the client preferences? Specifically, can you offer a hybrid model with some persistent resources?",10,BC/DR,Managed Service Provider,
What primary monitoring tool does your NOC use for network? Would Client have access to this tool?,10,BC/DR,Managed Service Provider,
Are you willing to work directly within the Client's (ZenDesk) ticketing system?,10,BC/DR,Managed Service Provider,
Can you integrate with the Client's ticketing system (ZenDesk) for bi-directional ticket mangement?,10,BC/DR,Managed Service Provider,
"What is your standard support model for a client of this size? (Shared Services, Pod, Fully Dedicated Resources). Please note if this is an elite or higher tier NOC than your smaller clients are supported by.",10,BC/DR,Managed Service Provider,
Do you have a tool to give the Client's visibility and ability to manage their portfolio of connections? What information does this include? Circuit ID? Contract End Date? Costs? Can circuits be added to this tool that you do not procure?,10,BC/DR,Managed Service Provider,
How do you track project status during implementations and communicate that with Sun?,10,BC/DR,Managed Service Provider,
"Is your support fully staffed 24/7 for all incident types? If not, please provide the breakdown.",10,BC/DR,Managed Service Provider,
How late (and in which time zone) can you ship replacement hardware out? How early does an issue need to be identified to ship replacement equipment same day.,10,BC/DR,Managed Service Provider,
Will you provide a consistent implementation team for all installs? Would this include PM and engineer?,10,BC/DR,Managed Service Provider,
"Will you commit to an executive sponsor for this project? If so, who would that be?",10,BC/DR,Managed Service Provider,
Will your installation techs perform circuit testing during installation based on client guidelines?,10,Feet on the Street,Managed Service Provider,
"Please explain your Account Management approach, including how you will structure the account executive and subordinates to fully support the Sun portfolio.  Where will this Account Executive be located?",10,Feet on the Street,Managed Service Provider,
Sun requires quarterly business reviews. Please describe the metrics and agenda that you would typically use to support these meetings.,10,Feet on the Street,Managed Service Provider,
"Please provide a copy of the escalation hierarchy that Customer would currently have access to, from both a NOC and account management perspective, including executive sponsorship.",10,Feet on the Street,Managed Service Provider,
Would you commit to weekly meetings to discuss project status and update project documentation?,10,Feet on the Street,Managed Service Provider,
"Describe how billing works – assume centralized, nothing sent to site address.  All connections should roll up under one single master account and contact point for billing. Preference is also to bucket services/hardware/onsite seperately. Please confirm if this is possible.",10,Feet on the Street,Managed Service Provider,
"If none of your existing carriers can support a site, will you sign a new provider or resell a retail circuit to support QSR?",10,Tier 1 Help Desk,Managed Service Provider,
Please provide a broadband circuit procurement process document with ownership groups identified and timelines for each step/task.,10,Tier 1 Help Desk,Managed Service Provider,
Describe how accounts are setup with the last mile carriers. Will QSR’s people be listed as approved contacts?  Who has ownership of the account?,10,Tier 1 Help Desk,Managed Service Provider,
"If ownership is not QSR’s, What happens if they leave your services for aggregation?  Can ownership be transferred? If so what is that process?",10,Tier 1 Help Desk,Managed Service Provider,
Describe support needs.  QSR Help Desk will be front line for support requests.  Please describe support model as much as possible.,10,Tier 1 Help Desk,Managed Service Provider,
Do you have a tool to give QSR visibility and ability to manage their portfolio of connections?,10,Tier 1 Help Desk,Managed Service Provider,
Will your installation techs perform circuit testing during installation based on QSR guidelines?,10,Tier 1 Help Desk,Managed Service Provider,
"Please explain your Account Management approach, including how you will structure the account executive and subordinates to fully support the QSR portfolio.  Where will this Account Executive be located?",10,Tier 1 Help Desk,Managed Service Provider,
QSR requires quarterly business reviews. Please describe the metrics and agenda that you would typically use to support these meetings.,10,Tier 1 Help Desk,Managed Service Provider,
"Describe how billing works – assume centralized, nothing sent to restaurant address.  All connections should roll up under one single master account and contact point for billing. Please confirm if this is possible.",10,Tier 1 Help Desk,Managed Service Provider,
"If Customer choses to move to a model in the future where you provide the hardware as a monthly service cost, which hardware brands do you support in this model?",10,Tier 1 Help Desk,Managed Service Provider,
Are you willing to work directly within Customer's (ZenDesk) ticketing system?,10,Tier 1 Help Desk,Managed Service Provider,
Can you integrate with Customer's ticketing system (ZenDesk) for bi-directional ticket mangement?,10,InfoSec,Managed Service Provider,
Do you have a tool to give Customer visibility and ability to manage their portfolio of connections? What information does this include? Circuit ID? Contract End Date? Costs? Can circuits be added to this tool that you do not procure?,10,InfoSec,Managed Service Provider,
Do you offer circuit procurement,10,InfoSec,Managed Service Provider,
"Do you hold direct contracts with the circuit providers, or do you leverage an aggregator?",10,InfoSec,Managed Service Provider,
Do you offer circuit management,10,InfoSec,Managed Service Provider,
Do you actively monitor and proactively open tickets for circuit issues,10,InfoSec,Managed Service Provider,
Is onsite hardware replacement included,10,InfoSec,Managed Service Provider,
What is your SLA for onsite replacement,10,InfoSec,Managed Service Provider,
What is your SLA for P1 incident response,10,InfoSec,Managed Service Provider,
Do you provide an uptime SLA if both hardware and circuits are procured through you? What is the SLA?,10,InfoSec,Managed Service Provider,
Do you provide client access to the SD-WAN portal (co-management),10,User provisioning/IDP,Managed Service Provider,
"Original to platform, built later, or acquired",10,User provisioning/IDP,Managed Service Provider,
Traffic Handling (packet or session),10,User provisioning/IDP,Managed Service Provider,
Can you shift traffic mid-session,10,User provisioning/IDP,Managed Service Provider,
Throughput monitoring,10,User provisioning/IDP,Managed Service Provider,
Cloud Optimization,10,User provisioning/IDP,Managed Service Provider,
"Do you support full mesh? If so, what is the maximum number of sites in a full mesh?",10,User provisioning/IDP,Managed Service Provider,
How do you connect into Azure?,10,Asset lifecycle management,Managed Service Provider,
Do you support wireless as a path of last resort?,10,Asset lifecycle management,Managed Service Provider,
How do you license HA?,10,Asset lifecycle management,Managed Service Provider,
Optimize traffic to,10,Asset lifecycle management,Managed Service Provider,
O365/Teams,10,Asset lifecycle management,Managed Service Provider,
Webex Teams,10,Network Aggregation,Network,NaaS
Webex calling,10,Network Aggregation,Network,NaaS
SAP Hana,10,Network Aggregation,Network,NaaS
"IBM SAP datacenter in Winterthir, Switzerland",10,Network Aggregation,Network,NaaS
Nasunni,10,Network Aggregation,Network,NaaS
Do you have a middle mile network?,10,Network Aggregation,Network,NaaS
Number of circuits supported,10,Network Aggregation,Network,NaaS
Support packet duplication,10,Network Aggregation,Network,NaaS
Support forward error correction,10,Network Managed Services,Network,NaaS
Historical Reporting (retention period),10,Network Managed Services,Network,NaaS
Real-time Traffic visibility and analytics,10,Network Managed Services,Network,NaaS
Speed to failover between circuits,10,Network Managed Services,Network,NaaS
Prem or Pop based,10,Network Managed Services,Network,NaaS
Can you handle inbound traffic for hosted systems,10,Network Managed Services,Network,NaaS
Do you offer client specific static IPs,10,Network Managed Services,Network,NaaS
Unified ruleset across all locations/POPs,10,Network Managed Services,Network,NaaS
Content filtering,10,Network Managed Services,Network,NaaS
Tie back to endpoint context,10,Network Managed Services,Network,NaaS
Anti-malware (signature based),10,Network Managed Services,Network,NaaS
Next Gen Anti-malware (ML Based),10,Network Managed Services,Network,NaaS
IPS/IDS,10,Network Managed Services,Network,NaaS
CASB,10,Network Managed Services,Network,NaaS
"CASB - Original to platform, built later, or acquired",5,Network Managed Services,Network,NaaS
DLP,10,Network Managed Services,Network,NaaS
"DLP- Original to platform, built later, or acquired",10,Network Managed Services,Network,NaaS
Ability to export logs in near real time to MDR provider,10,Network Managed Services,Network,NaaS
How do you handle segmentation for OT networks? What security features do you support at the edge (on hardware).,10,Network Managed Services,Network,NaaS
Do you support multiple WAN segments (Multiple VRFs),10,Network Managed Services,Network,NaaS
Always on,10,Support,Network,NaaS
Do all cloud firewall services apply to remote access clients,10,Support,Network,NaaS
Auto-select nearest POP,10,Support,Network,NaaS
Number of POPs,10,Support,Network,NaaS
Access to middle mile network for optimal egress,10,Support,Network,NaaS
Maximum throughput,10,Support,Network,NaaS
Gartner Quadrant,10,Support,Network,NaaS
Referenceable client logos,10,Support,Network,NaaS
Year SDWAN Launched,10,Support,Network,NaaS
Traffic Handling,10,Support,Network,NaaS
"How do you handle connectivity into Azure, GCP, and AWS?",10,Support,Network,NaaS
Which Azure datacenters do you have connectivity to?,10,Support,Network,NaaS
Optimize traffic to O365/Teams,10,Support,Network,NaaS
Optimize traffic to Salesforce,10,Functional Requirements,Network,Aggregation
Can you connect sites directly to Oracle OCI in Ashburn and Phoenix?,10,Functional Requirements,Network,Aggregation
Co-managed (Admin access given),10,Functional Requirements,Network,Aggregation
Telecom carrier management,10,Functional Requirements,Network,Aggregation
Self-service historical reporting,10,Functional Requirements,Network,Aggregation
Year managed service offered (on this platform),10,Functional Requirements,Network,Aggregation
Global middle mile network included?,10,Functional Requirements,Network,Aggregation
Active/Active connection to multiple POPs,0,Functional Requirements,Network,Aggregation
Cloud egress from optimal POP,10,Functional Requirements,Network,Aggregation
Number of global POPs,10,Functional Requirements,Network,Aggregation
Number of clients on platform,10,Functional Requirements,Network,Aggregation
Number of sites deployed on platform,10,Functional Requirements,Network,Aggregation
Number of certified engineers on platform,10,Functional Requirements,Network,Aggregation
4 hr. global device replacement SLA,10,Functional Requirements,Network,Aggregation
Ring Central,10,Functional Requirements,Network,Aggregation
8x8,10,Functional Requirements,Network,Aggregation
Fuze,10,Functional Requirements,Network,Aggregation
Dialpad,10,Functional Requirements,Network,Aggregation
Masergy,10,Functional Requirements,Network,Aggregation
InContact,10,Functional Requirements,Network,Aggregation
Five9,10,Functional Requirements,Network,Aggregation
Talkdesk,10,Network Aggregation,Network,Aggregation
Genesys,10,Network Aggregation,Network,Aggregation
Vonage,10,Network Aggregation,Network,Aggregation
High availability,10,Network Aggregation,Network,Aggregation
"If you utilize POPs, how do you support POP resiliency? Is there a charge for that capability?",10,Network Aggregation,Network,Aggregation
Site disconnection from controller,10,Network Aggregation,Network,Aggregation
Number of circuits,10,Network Aggregation,Network,Aggregation
Reliable packet delivery,10,Network Aggregation,Network,Aggregation
Form Factor,10,Network Managed Services,Network,NaaS
Lowest device replacement SLA,10,Network Managed Services,Network,NaaS
How can you help optimize traffic in South Africa,10,Network Managed Services,Network,NaaS
How do you handle sites in China,10,Network Managed Services,Network,NaaS
Full Mesh,10,Network Managed Services,Network,NaaS
WAN Optimization,10,Network Managed Services,Network,NaaS
How do you connect to zScaler,10,Network Managed Services,Network,NaaS
Can you provide best path selection on traffic routed through zScaler?,10,Network Managed Services,Network,NaaS
Firewall,10,Network Managed Services,Network,NaaS
Speed to failover,10,Network Managed Services,Network,NaaS
Ease of installation/management,10,Network Managed Services,Network,NaaS
Formal training or technical certification,10,Network Managed Services,Network,NaaS
Fully managed solution,10,Network Managed Services,Network,NaaS
Provide services in China,10,Network Managed Services,Network,NaaS
Procure network circuits,5,Network Managed Services,Network,NaaS
Do you provide SLAs?,10,Network Managed Services,Network,NaaS
Circuit uptime,10,Network Managed Services,Network,NaaS
Time to acknowledge ticket,10,Network Managed Services,Network,NaaS
Time to repair,10,Network Managed Services,Network,NaaS
"Do you offer a customer portal for viewing invoices, current inventory, and initiating tickets?",10,Network Managed Services,Network,NaaS
List your NOC/Customer service locations with average number of concurrent staff.,10,Support,Network,NaaS
"Is your help desk 24/7? Will you handle all ticket severities 24/7, or only specific severities?",10,Support,Network,NaaS
"Do you offer professional services to handle implementation, including client owned router setup?",10,Support,Network,NaaS
List your managed SDWAN platforms and the year you began offering them.,10,Support,Network,NaaS
How many global carriers do you have direct contracts with?,10,Support,Network,NaaS
How many countries can you provide circuits in?,10,Support,Network,NaaS
"Current Syneos provider? If yes, revenue last year from Syneos?",10,Support,Network,NaaS
What is your approach to data privacy agreements and will you sign a DPA?,10,Support,Network,NaaS
"How do you handle compliance requirements, specifically GDPR?",10,Support,Network,NaaS
How many years has your company been providing internet services?,10,Support,Network,NaaS
Do you own any of your own fiber or cable infrastructure?,10,Support,Network,NaaS
How many route miles of fiber and cable to you own?,10,Support,Network,NaaS
Do you have an information security program that is audited annually by a third party?,10,Support,Network,NaaS
How do you handle data privacy? How do you ensure compliance with GDPR and UK DPA? ,10,Management,Security,SASE
Please provide relevant customer references: Please provide names and contact information for at least three (3) current customers. Please include references with similar size and scope to Syneos.  Describe the scope of products and services provided to each of these customers  Describe any unique program features being provided to each of these customers. Please be specific.  Please feel free to attach any supplemental customer experience information.,10,Management,Security,SASE
How many clients do you have?,10,Management,Security,SASE
Referencable Client Logos,10,Management,Security,SASE
SOC 2,10,Management,Security,SASE
24/7 SOC,10,Management,Security,SASE
SOC Locations,10,Management,Security,SASE
Domestic only SOC option,10,Management,Security,SASE
SIEM solutions you support,10,Management,Security,SASE
MDR/EDR solutions you support,20,SD WAN Requirements,Security,SASE
Do you provide detailed remediation assistance? (walk the client through remediation),10,SD WAN Requirements,Security,SASE
"Do you offer full incident response, including forensic investigation and chain of custody?",10,SD WAN Requirements,Security,SASE
SLA for response with IR retainer,10,SD WAN Requirements,Security,SASE
Remote response,10,SD WAN Requirements,Security,SASE
Onsite response,10,SD WAN Requirements,Security,SASE
Do you retain all logs?,10,SD WAN Requirements,Security,SASE
For how long?,10,SD WAN Requirements,Security,SASE
Can you provide custom retention?,10,SD WAN Requirements,Security,SASE
Can your SIEM/Alerting platform ingest and parse logs from the following systems:,10,SD WAN Requirements,Security,SASE
Meraki firewall,10,SD WAN Requirements,Security,SASE
Meraki switch,10,SD WAN Requirements,Security,SASE
Cisco ASA,10,SD WAN Requirements,Security,SASE
Nimble Storage,10,SD WAN Requirements,Security,SASE
Carbon Black,10,SD WAN Requirements,Security,SASE
Baracuda email security,10,SD WAN Requirements,Security,SASE
OKTA,10,SD WAN Requirements,Security,SASE
Nessus,10,SD WAN Requirements,Security,SASE
Windows Server,10,SD WAN Requirements,Security,SASE
Windows 10/11,10,SD WAN Requirements,Security,SASE
Active Directory,10,SD WAN Requirements,Security,SASE
Azure AD,10,SD WAN Requirements,Security,SASE
AWS,10,SD WAN Requirements,Security,SASE
Do you perform security assessments,10,Cloud Firewall,Security,SASE
Do you offer vulnerability scanning,10,Cloud Firewall,Security,SASE
What is the business requirement for this penetration test?,10,Cloud Firewall,Security,SASE
Does the organization currently have a process in place for vulnerability management? ,Pass/Fail,Cloud Firewall,Security,SASE
What are the objectives?,Pass/Fail,Cloud Firewall,Security,SASE
Which  project type you would like to consider?,10,Cloud Firewall,Security,SASE
"We recommend that testing is not restricted to only outside of business hours. Testing performed after-hours, on weekends or holidays will involve a higher level of effort. Please provide justification if after hours testing is required. ",10,Cloud Firewall,Security,SASE
Are the systems hosted by a third party?,10,Cloud Firewall,Security,SASE
EXTERNAL PENTEST - How many live and active IP addresses do you have on your external (Internet facing) network?,10,Cloud Firewall,Security,SASE
INTERNAL PENTEST - How many live and active IP addresses do you have on your internal network?,10,Cloud Firewall,Security,SASE
INTERNAL PENTEST –Internal Network Information,10,Cloud Firewall,Security,SASE
"INTERNAL PENTEST - Would you prefer an analyst to perform the test onsite at your office, or remotely through a provided device?",10,Cloud Firewall,Security,SASE
PCI INTERNAL PENTEST - Please list the number of live IPs in your Cardholder Date Environment (CDE),10,Cloud Firewall,Security,SASE
"PCI INTERNAL PENTEST - Please list the number of live IPs that are considered system components or connected systems, which are referred to as “in-scope”",10,Cloud Firewall,Security,SASE
PCI INTERNAL PENTEST - Please provide the approximate number or out-of-scope targets to be tested per the PCI Segmentation testing guidance at the link below.,10,Cloud Firewall,Security,SASE
PCI INTERNAL PENTEST - Are you a service provider or merchant?,Pass/Fail,Cloud Firewall,Security,SASE
PCI INTERNAL PENTEST - Do you use segmentation controls within your environment?,10,Cloud Firewall,Security,SASE
WEB APP ASSESSMENT - Please list the Uniform Resource Locator (URL) for each web application you would like evaluated: ,10,Cloud Firewall,Security,SASE
WEB APP ASSESSMENT – Please describe the purpose of the application and the application stack. ,10,Cloud Firewall,Security,SASE
"WEB APP ASSESSMENT – Based on the purpose of the application, please provide a broad idea of the various workflows or routes within the application. ",20,Remote Access,Security,SASE
"WEB APP ASSESSMENT - Please provide the dynamic page count for each application. A dynamic page is considered any page that takes input and/or passes unique parameters (e.g. – forms, blog posts, etc.)",10,Remote Access,Security,SASE
"WEB APP ASSESSMENT - How many APIs does the application utilize that are not tied to a third party? If possible, please provide context on the complexity of the APIs and provide associated documentation. ",10,Remote Access,Security,SASE
WEB APP ASSESSMENT - From which perspective would you like the application(s) evaluated?,10,Remote Access,Security,SASE
WEB APP ASSESSMENT - Are these applications in a production or development environment? Development or comparable is normally recommended. ,10,Remote Access,Security,SASE
WIRELESS - How many wireless network Service Set Identifiers (SSIDs) should be evaluated?,10,Remote Access,Security,SASE
WIRELESS - How many locations will require a wireless assessment?,10,Remote Access,Security,SASE
WIRELESS - Are the locations shared with other businesses?,,Company Information,Network,SDWAN
WIRELESS - How many wireless access points are in the environment?,10,Company Information,Network,SDWAN
Is your solution primarily managed or self service,,Company Information,Network,SDWAN
Deployment options - Prem/Cloud/Hybrid,10,Company Information,Network,SDWAN
"Do you have a unified orchestration layer/portal for all of the below services? If not, which services are separate?",,Company Information,Network,SDWAN
"Do you have a unified reporting layer/portal for all of the below services? If not, which services are separate?",10,Company Information,Network,SDWAN
Alerts and Notifications,10,Company Information,Network,SDWAN
Security Dashboards,10,Features,Network,SDWAN
The ability to manage configuration externally via source control (git).,10,Features,Network,SDWAN
Integration with Threat Feeds,10,Features,Network,SDWAN
Out of the Box Integrations,10,Features,Network,SDWAN
Threat Analysis,10,Features,Network,SDWAN
Automated Threat Response,10,Features,Network,SDWAN
Customizable Reports,10,Features,Network,SDWAN
Log Analysis,10,Features,Network,SDWAN
Incident Tracking,10,Features,Network,SDWAN
Trend Analysis,10,Features,Network,SDWAN
Forensic Analysis,10,Features,Network,SDWAN
API and Bot Activity Analysis,10,Management Burden,Network,SDWAN
SIEM/SOAR,10,Management Burden,Network,SDWAN
"Out of box WAF Dashboards for SIEM, SOAR",10,Management Burden,Network,SDWAN
"Logging and alerting – granular logging for security, system and audit events with flexibility to control log levels and configure log transfer to external systems such as SIEM platforms.   ",10,Reliability,Network,SDWAN
Severity based email  alerting of events,10,Reliability,Network,SDWAN
Intuitive dashboards for top web security and botnet threats.  ,10,Reliability,Network,SDWAN
Do you provide 24/7 SOC access,10,Reliability,Network,SDWAN
How many global SOC locations do you have?,10,Reliability,Network,SDWAN
How many SOC analysts do you have,10,Reliability,Network,SDWAN
Do you provide a designated support team? Please provide the titles of those team members?,10,Reliability,Network,SDWAN
What is your response time SLA for a P1 incident,10,Reliability,Network,SDWAN
"Does your managed services cover all areas discussed below (WAF, API, Bot, DDoS, Certificate). If not, please elaborate.",10,Reliability,Network,SDWAN
a.              monitor and record alerts and Security Events 24x7x365;,10,Reliability,Network,SDWAN
b.              classify alert and Security Event severity based on Customer approved SLA;,10,Explain your UCaaS/CCaaS,Network,SDWAN
c.              provide initial assessment of all Security Events and Alerts;,10,Explain your UCaaS/CCaaS,Network,SDWAN
d.              monitor and escalate all Security Events in accordance with applicable Service Levels,10,Explain your UCaaS/CCaaS,Network,SDWAN
e.              make a first attempt at resolving or escalating the Security Event to the appropriate Customer contact,10,Explain your UCaaS/CCaaS,Network,SDWAN
"f.               continuously tune alerts and their severity, and provide recommendations to Customer about tuning",10,Explain your UCaaS/CCaaS,Network,SDWAN
"g.              own, monitor, track, and communicate Security Event summary and, where applicable, root cause reporting, and reports back to Customer",10,Explain your UCaaS/CCaaS,Network,SDWAN
h.              receive and respond to escalation calls from Customer or Customer authorized technical field associates for any security-related issues;,10,Explain your UCaaS/CCaaS,Network,SDWAN
"i.                keep designated Provider, Customer and Customer authorized third party contacts informed on status and progress;",10,Explain your UCaaS/CCaaS,Network,SDWAN
"j.                receive and respond to escalation from any Provider, Customer or Customer’s authorized third-party help desk or support group for any security-related issues;",10,Explain your UCaaS/CCaaS,Network,SDWAN
"k.              provide Customer a portal view into currently open Security Event tickets and ad hoc reporting of any and all Security Events, Security Incidents and other security cases;",10,Explain your UCaaS/CCaaS,Network,SDWAN
"l.                produce and provide Customer with real-time, monthly, quarterly, and yearly reports by Customer-defined demographics detailing events received and resolved as well as current trends in our security environment, including attack vectors and case volumes; ",10,Explain your UCaaS/CCaaS,Network,SDWAN
m.            assisting Customer in conducting operational security reviews to assess Provider's processes and performance to determine effectiveness in meeting Customer's security requirements for  in-scope SOC services.,10,Explain your UCaaS/CCaaS,Network,SDWAN
"n.              responsible for the provision of services related to Customer's security requirements, which are set in place by Customer to govern the security of Customer’s Environment",10,Explain your UCaaS/CCaaS,Network,SDWAN
Number of NA POPs,10,Explain your UCaaS/CCaaS,Network,SDWAN
Do you have a private backbone between pops,10,Explain your UCaaS/CCaaS,Network,SDWAN
Do you leverage intelligent routing and multiple connections between POPs,10,Explain your UCaaS/CCaaS,Network,SDWAN
Is the tech stack/capabilities the same at all POPs,10,Explain your UCaaS/CCaaS,Network,SDWAN
How do you define a Gigabyte for billing purposes,10,Explain your UCaaS/CCaaS,Network,SDWAN
Can you provide a statistic concerning your average latency to the US population,10,Explain your UCaaS/CCaaS,Network,SDWAN
How do you measure latency to our services for SLA/Contractual purposes,10,Explain your UCaaS/CCaaS,Network,SDWAN
Do you offer dynamic image scaling,10,Explain your UCaaS/CCaaS,Network,SDWAN
Do you offer edge storage,10,Explain your UCaaS/CCaaS,Network,SDWAN
Do you offer edge compute (client VM/workload),10,Explain your UCaaS/CCaaS,Network,SDWAN
Describe the benefits associated with your edge compute vs other providers,10,Explain your UCaaS/CCaaS,Network,SDWAN
"Do you offer edge compute in all POPs? If not, how many NA POPs?",10,Explain your UCaaS/CCaaS,Network,SDWAN
Do you offer edge redirects,10,Explain your UCaaS/CCaaS,Network,SDWAN
Can you offer static content if our site is down (maintenance page),10,Explain your UCaaS/CCaaS,Network,SDWAN
Do you offer other Edge services that may be of interest to AA?,10,Management Burden,Network,SDWAN
DNS protocol used,10,Management Burden,Network,SDWAN
DNS Uptime SLA,10,Management Burden,Network,SDWAN
Are DNS servers protected from DDoS,10,Reliability,Network,SDWAN
Number of global name server POPs,10,Reliability,Network,SDWAN
IP Anycast,10,Reliability,Network,SDWAN
DNSSEC,10,Reliability,Network,SDWAN
Can you manage SSL certificates on our behalf,10,Reliability,Network,SDWAN
Do you offer auto renewal of SSL certificates,10,Reliability,Network,SDWAN
Can you issue new certificates,10,Reliability,Network,SDWAN
Can you manage TLS configurations including cypher selection,10,Reliability,Network,SDWAN
Signature-based Protection including pre-built OWASP top 10 protection,10,Reliability,Network,SDWAN
Ability to monitor/enforce DLP,10,Reliability,Network,SDWAN
What pre-built logging integrations do you have,10,Management Burden,Network,SDWAN
Reported uptime for the past 2 quarters,10,Management Burden,Network,SDWAN
Positive/Negative Security Models,10,Management Burden,Network,SDWAN
Geo IP controls,10,Features,Network,SDWAN
Rate controls,10,Features,Network,SDWAN
Customizable Rules,10,Capabilities,Network,SDWAN
Do you have malware protection,10,Capabilities,Network,SDWAN
Behavioral Analysis,10,Capabilities,Network,SDWAN
Do you offer protection against account abuse,10,Capabilities,Network,SDWAN
Do you leverage web reputation for proactive blocking,10,Capabilities,Network,SDWAN
At what reading level is your documentation based? Is it easy for english as a second language admins.,10,Capabilities,Network,SDWAN
"What data-center load ballencers have you validated your solution with (i.e. Azure, AWS, F5, etc.)",10,Capabilities,Network,SDWAN
Pre-built OWASP top 10 API traffic protection,10,Capabilities,Network,SDWAN
API inventory and discovery tool,10,Capabilities,Network,SDWAN
Can you discover API east/west traffic inside the datacenter,10,Capabilities,Network,SDWAN
Monitor behavior of entities post authentication,10,Capabilities,Network,SDWAN
Can you provide behavioral analytics to all API traffic,10,Company Information,Network,SDWAN
TLS level,10,Company Information,Network,SDWAN
Authentication types supported,10,Company Information,Network,SDWAN
API Token Management,10,Company Information,Network,SDWAN
Rate Limiting,10,Company Information,Network,SDWAN
API Whitelisting,10,Company Information,Network,SDWAN
JWT Validation,10,Company Information,Network,SDWAN
Duplicate HTTP Request ID Identification,10,Company Information,Network,SDWAN
Data Validation,10,Company Information,Network,SDWAN
API Transaction Monitoring,10,Company Information,Network,SDWAN
Request and Response Analysis,10,Overview,Security,MDR
API Abuse Detection,10,Overview,Security,MDR
Data Analytics on the findings and Graphical interfaces for Management ,10,Overview,Security,MDR
Auto Learning   - Machine learning and behavioural learning on creating new rules based on changing API behaviour as applications change,10,Functional Requirements,Security,MDR
Behavioral Anomalies Detection,10,Functional Requirements,Security,MDR
Real-time Alerts,Pass/fail,Functional Requirements,Security,MDR
Customizable Alert Thresholds,10,Functional Requirements,Security,MDR
Automated Incident Responses,10,Functional Requirements,Security,MDR
Bot Threat Alerts,10,Functional Requirements,Security,MDR
"If you have multiple versions of Bot protection, please list them (standard, advanced, etc.)",10,Functional Requirements,Security,MDR
Ability to whitelist known good bots,10,Functional Requirements,Security,MDR
Ability to protect against account takeover or credential abuse bots,10,Functional Requirements,Security,MDR
Ability to manage partner bots to avoid congestion,10,Functional Requirements,Security,MDR
Can you determine a human user vs bot based activity (AI/ML behavioral detection),10,Functional Requirements,Security,MDR
Size of threat intelligence dataset,10,Functional Requirements,Security,MDR
Ability to deploy custom rulesets,10,Functional Requirements,Security,MDR
What type of behaviors are you looking for and where are you looking for them,10,Functional Requirements,Security,MDR
How much bot traffic are you currently blocking,10,Functional Requirements,Security,MDR
